,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,name,popularity,speechiness,tempo,time_signature
0,0.457,1922,0.994,['Ignacio Corsini'],0.434,181640,0.177,0,0.0218,1,0.212,-21.18,1,Vivo para Quererte - Remasterizado,0,0.0512,130.418,5
1,0.397,1922,0.995,['Ignacio Corsini'],0.321,176907,0.0946,0,0.918,7,0.104,-27.961,1,El Prisionero - Remasterizado,0,0.0504,169.98,3
2,0.654,1922,0.993,['Mistinguett'],0.563,161427,0.184,0,1.55e-05,4,0.325,-13.757,1,La Java,0,0.0512,133.088,3
3,0.544,1922,0.62,['Greg Fieler'],0.488,310073,0.475,0,0.00645,0,0.107,-16.222,0,Old Fashioned Girl,0,0.0399,139.952,4
4,0.402,1922,0.521,['Uli'],0.298,157333,0.46,0,0.856,1,0.436,-18.645,1,Lazy Boi,0,0.453,87.921,4
5,0.414,1922,0.996,['Victor Boucher'],0.352,188000,0.334,0,0.00746,5,0.36,-13.038,1,Ca C'est Une Chose,0,0.0594,76.403,4
6,0.4,1922,0.994,['Louis Lynel'],0.42,180800,0.288,0,0.000216,7,0.196,-14.005,1,Nuits De Chine,4,0.0701,139.575,3
7,0.383,1922,0.994,['Ignacio Corsini'],0.373,150160,0.176,0,0.866,4,0.157,-22.045,0,En la Huella del Querer - Remasterizado,0,0.0703,106.595,1
8,0.568,1922,0.992,['Perchicot'],0.55,177400,0.31,0,0.0,10,0.204,-15.423,0,La Ronde De Nuit,0,0.168,125.829,4
9,0.33,1922,0.996,['Ignacio Corsini'],0.482,145627,0.0283,0,0.77,0,0.0989,-23.414,0,El Patotero Sentimental - Remasterizado,0,0.0732,77.642,4
10,0.414,1922,0.974,['Ignacio Corsini'],0.273,168107,0.318,0,0.163,6,0.778,-18.597,1,Tus Suspiros - Remasterizado,0,0.0694,74.542,3
11,0.623,1922,0.993,['Ignacio Corsini'],0.373,194200,0.244,0,0.0478,8,0.214,-22.711,1,Ojos Funestos - Remasterizado,0,0.0538,115.51,4
12,0.407,1922,0.996,['Ignacio Corsini'],0.462,171013,0.119,0,0.88,4,0.0773,-20.938,0,El Huerfano - Remasterizado,0,0.0793,122.895,4
